,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,427.325,AGAST+SIFT
1,MAP Dataset,441.10833333333335,AGAST+SIFT
2,MAP Dataset,455.93333333333334,AGAST+SIFT
3,MAP Dataset,478.8666666666667,AGAST+SIFT
4,MAP Dataset,477.65,AGAST+SIFT
5,MAP Dataset,471.06666666666666,AGAST+SIFT
6,MAP Dataset,398.78333333333336,AGAST+SIFT
7,MAP Dataset,388.175,AGAST+SIFT
8,MAP Dataset,355.65,AGAST+SIFT
9,MAP Dataset,333.325,AGAST+SIFT
10,MAP Dataset,326.03333333333336,AGAST+SIFT
11,MAP Dataset,303.75,AGAST+SIFT
12,MAP Dataset,313.44166666666666,AGAST+SIFT
13,MAP Dataset,295.60833333333335,AGAST+SIFT
14,MAP Dataset,284.68333333333334,AGAST+SIFT
15,MAP Dataset,271.09166666666664,AGAST+SIFT
16,MAP Dataset,252.025,AGAST+SIFT
17,MAP Dataset,230.35,AGAST+SIFT
18,MAP Dataset,228.575,AGAST+SIFT
19,MAP Dataset,212.46666666666667,AGAST+SIFT
20,MAP Dataset,219.01666666666668,AGAST+SIFT
21,MAP Dataset,218.725,AGAST+SIFT
22,MAP Dataset,226.425,AGAST+SIFT
23,MAP Dataset,208.24166666666667,AGAST+SIFT
24,MAP Dataset,229.05,AGAST+SIFT
25,MAP Dataset,239.94166666666666,AGAST+SIFT
26,MAP Dataset,241.19166666666666,AGAST+SIFT
27,MAP Dataset,204.49166666666667,AGAST+SIFT
28,MAP Dataset,206.26666666666668,AGAST+SIFT
29,MAP Dataset,220.31666666666666,AGAST+SIFT
30,MAP Dataset,205.50833333333333,AGAST+SIFT
31,MAP Dataset,209.75833333333333,AGAST+SIFT
32,MAP Dataset,239.00833333333333,AGAST+SIFT
33,MAP Dataset,245.375,AGAST+SIFT
34,MAP Dataset,264.84166666666664,AGAST+SIFT
35,MAP Dataset,288.71666666666664,AGAST+SIFT
36,MAP Dataset,294.7583333333333,AGAST+SIFT
37,MAP Dataset,303.46666666666664,AGAST+SIFT
38,MAP Dataset,324.3666666666667,AGAST+SIFT
39,MAP Dataset,308.7,AGAST+SIFT
40,MAP Dataset,364.375,AGAST+SIFT
41,MAP Dataset,390.7583333333333,AGAST+SIFT
42,MAP Dataset,354.225,AGAST+SIFT
43,MAP Dataset,334.31666666666666,AGAST+SIFT
44,MAP Dataset,316.0,AGAST+SIFT
45,MAP Dataset,297.46666666666664,AGAST+SIFT
46,MAP Dataset,288.43333333333334,AGAST+SIFT
47,MAP Dataset,281.5083333333333,AGAST+SIFT
48,MAP Dataset,284.46666666666664,AGAST+SIFT
49,MAP Dataset,266.30833333333334,AGAST+SIFT
50,MAP Dataset,257.53333333333336,AGAST+SIFT
51,MAP Dataset,299.6,AGAST+SIFT
52,MAP Dataset,275.075,AGAST+SIFT
53,MAP Dataset,271.85,AGAST+SIFT
54,MAP Dataset,225.81666666666666,AGAST+SIFT
55,MAP Dataset,254.575,AGAST+SIFT
56,MAP Dataset,262.3,AGAST+SIFT
57,MAP Dataset,285.475,AGAST+SIFT
58,MAP Dataset,327.6166666666667,AGAST+SIFT
59,MAP Dataset,294.125,AGAST+SIFT
60,MAP Dataset,275.35,AGAST+SIFT
61,MAP Dataset,433.85833333333335,AGAST+SIFT
62,MAP Dataset,384.71666666666664,AGAST+SIFT
63,MAP Dataset,373.975,AGAST+SIFT
64,MAP Dataset,328.23333333333335,AGAST+SIFT
65,MAP Dataset,349.80833333333334,AGAST+SIFT
66,MAP Dataset,320.6,AGAST+SIFT
67,MAP Dataset,300.31666666666666,AGAST+SIFT
68,MAP Dataset,279.925,AGAST+SIFT
69,MAP Dataset,261.925,AGAST+SIFT
70,MAP Dataset,259.56666666666666,AGAST+SIFT
71,MAP Dataset,230.525,AGAST+SIFT
72,MAP Dataset,216.04166666666666,AGAST+SIFT
73,MAP Dataset,203.86666666666667,AGAST+SIFT
74,MAP Dataset,204.23333333333332,AGAST+SIFT
75,MAP Dataset,196.85833333333332,AGAST+SIFT
76,MAP Dataset,198.89166666666668,AGAST+SIFT
77,MAP Dataset,203.71666666666667,AGAST+SIFT
78,MAP Dataset,174.74166666666667,AGAST+SIFT
79,MAP Dataset,182.16666666666666,AGAST+SIFT
80,MAP Dataset,189.86666666666667,AGAST+SIFT
81,MAP Dataset,213.125,AGAST+SIFT
82,MAP Dataset,183.58333333333334,AGAST+SIFT
83,MAP Dataset,185.76666666666668,AGAST+SIFT
84,MAP Dataset,187.64166666666668,AGAST+SIFT
85,MAP Dataset,190.0,AGAST+SIFT
86,MAP Dataset,196.14166666666668,AGAST+SIFT
87,MAP Dataset,204.975,AGAST+SIFT
88,MAP Dataset,225.96666666666667,AGAST+SIFT
89,MAP Dataset,249.46666666666667,AGAST+SIFT
90,MAP Dataset,259.1,AGAST+SIFT
91,MAP Dataset,281.34166666666664,AGAST+SIFT
92,MAP Dataset,286.98333333333335,AGAST+SIFT
93,MAP Dataset,281.8,AGAST+SIFT
94,MAP Dataset,301.96666666666664,AGAST+SIFT
95,MAP Dataset,324.3666666666667,AGAST+SIFT
96,MAP Dataset,362.4916666666667,AGAST+SIFT
97,MAP Dataset,405.14166666666665,AGAST+SIFT
98,MAP Dataset,425.575,AGAST+SIFT
99,MAP Dataset,494.81666666666666,AGAST+SIFT
100,MAP Dataset,511.975,AGAST+SIFT
101,MAP Dataset,505.40833333333336,AGAST+SIFT
102,MAP Dataset,489.35,AGAST+SIFT
103,MAP Dataset,468.825,AGAST+SIFT
104,MAP Dataset,486.575,AGAST+SIFT
105,MAP Dataset,460.2083333333333,AGAST+SIFT
106,MAP Dataset,460.9916666666667,AGAST+SIFT
107,MAP Dataset,446.825,AGAST+SIFT
108,MAP Dataset,415.9583333333333,AGAST+SIFT
109,MAP Dataset,410.225,AGAST+SIFT
110,MAP Dataset,253.41666666666666,AGAST+SIFT
111,MAP Dataset,237.83333333333334,AGAST+SIFT
112,MAP Dataset,307.39166666666665,AGAST+SIFT
113,MAP Dataset,366.2,AGAST+SIFT
114,MAP Dataset,338.94166666666666,AGAST+SIFT
115,MAP Dataset,352.90833333333336,AGAST+SIFT
116,MAP Dataset,368.2416666666667,AGAST+SIFT
117,MAP Dataset,414.9,AGAST+SIFT
118,MAP Dataset,411.43333333333334,AGAST+SIFT
119,MAP Dataset,441.7083333333333,AGAST+SIFT
120,MAP Dataset,8.333333333333334,FAST+SIFT
121,MAP Dataset,8.333333333333334,FAST+SIFT
122,MAP Dataset,8.341666666666667,FAST+SIFT
123,MAP Dataset,8.333333333333334,FAST+SIFT
124,MAP Dataset,8.333333333333334,FAST+SIFT
125,MAP Dataset,8.341666666666667,FAST+SIFT
126,MAP Dataset,8.358333333333333,FAST+SIFT
