,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,171.26666666666668,FAST+SIFT
1,Small Village Dataset,184.2,FAST+SIFT
2,Small Village Dataset,192.15,FAST+SIFT
3,Small Village Dataset,152.79166666666666,FAST+SIFT
4,Small Village Dataset,153.35833333333332,FAST+SIFT
5,Small Village Dataset,175.99166666666667,FAST+SIFT
6,Small Village Dataset,293.5416666666667,FAST+SIFT
7,Small Village Dataset,250.8,FAST+SIFT
8,Small Village Dataset,160.94166666666666,FAST+SIFT
9,Small Village Dataset,153.79166666666666,FAST+SIFT
10,Small Village Dataset,159.25,FAST+SIFT
11,Small Village Dataset,178.075,FAST+SIFT
12,Small Village Dataset,179.54166666666666,FAST+SIFT
13,Small Village Dataset,446.2,FAST+SIFT
14,Small Village Dataset,775.3,FAST+SIFT
15,Small Village Dataset,339.2916666666667,FAST+SIFT
16,Small Village Dataset,216.14166666666668,FAST+SIFT
17,Small Village Dataset,183.74166666666667,FAST+SIFT
18,Small Village Dataset,201.31666666666666,FAST+SIFT
19,Small Village Dataset,176.825,FAST+SIFT
20,Small Village Dataset,212.55,FAST+SIFT
21,Small Village Dataset,325.76666666666665,FAST+SIFT
22,Small Village Dataset,479.85833333333335,FAST+SIFT
23,Small Village Dataset,321.1666666666667,FAST+SIFT
24,Small Village Dataset,176.44166666666666,FAST+SIFT
25,Small Village Dataset,148.56666666666666,FAST+SIFT
26,Small Village Dataset,217.8,FAST+SIFT
27,Small Village Dataset,213.95833333333334,FAST+SIFT
28,Small Village Dataset,309.7416666666667,FAST+SIFT
29,Small Village Dataset,453.5833333333333,FAST+SIFT
30,Small Village Dataset,436.73333333333335,FAST+SIFT
31,Small Village Dataset,236.875,FAST+SIFT
32,Small Village Dataset,125.66666666666667,FAST+SIFT
33,Small Village Dataset,149.18333333333334,FAST+SIFT
34,Small Village Dataset,173.71666666666667,FAST+SIFT
35,Small Village Dataset,233.20833333333334,FAST+SIFT
36,Small Village Dataset,340.65833333333336,FAST+SIFT
37,Small Village Dataset,494.5083333333333,FAST+SIFT
38,Small Village Dataset,295.575,FAST+SIFT
39,Small Village Dataset,194.96666666666667,FAST+SIFT
40,Small Village Dataset,94.54166666666667,FAST+SIFT
41,Small Village Dataset,86.6,FAST+SIFT
42,Small Village Dataset,161.275,FAST+SIFT
43,Small Village Dataset,276.6666666666667,FAST+SIFT
44,Small Village Dataset,467.64166666666665,FAST+SIFT
45,Small Village Dataset,788.3166666666667,FAST+SIFT
46,Small Village Dataset,490.625,FAST+SIFT
47,Small Village Dataset,289.46666666666664,FAST+SIFT
48,Small Village Dataset,182.93333333333334,FAST+SIFT
49,Small Village Dataset,80.81666666666666,FAST+SIFT
50,Small Village Dataset,209.7,FAST+SIFT
51,Small Village Dataset,254.075,FAST+SIFT
52,Small Village Dataset,389.8833333333333,FAST+SIFT
53,Small Village Dataset,537.3166666666667,FAST+SIFT
54,Small Village Dataset,564.55,FAST+SIFT
55,Small Village Dataset,386.48333333333335,FAST+SIFT
56,Small Village Dataset,295.39166666666665,FAST+SIFT
57,Small Village Dataset,176.7,FAST+SIFT
58,Small Village Dataset,137.725,FAST+SIFT
59,Small Village Dataset,417.9,FAST+SIFT
60,Small Village Dataset,574.7666666666667,FAST+SIFT
61,Small Village Dataset,328.59166666666664,FAST+SIFT
62,Small Village Dataset,473.2583333333333,FAST+SIFT
63,Small Village Dataset,274.7916666666667,FAST+SIFT
64,Small Village Dataset,202.83333333333334,FAST+SIFT
65,Small Village Dataset,181.25833333333333,FAST+SIFT
66,Small Village Dataset,181.46666666666667,FAST+SIFT
67,Small Village Dataset,152.75833333333333,FAST+SIFT
68,Small Village Dataset,124.55,FAST+SIFT
69,Small Village Dataset,98.59166666666667,FAST+SIFT
70,Small Village Dataset,99.70833333333333,FAST+SIFT
71,Small Village Dataset,124.8,FAST+SIFT
72,Small Village Dataset,158.68333333333334,FAST+SIFT
73,Small Village Dataset,167.84166666666667,FAST+SIFT
74,Small Village Dataset,175.86666666666667,FAST+SIFT
75,Small Village Dataset,175.18333333333334,FAST+SIFT
76,Small Village Dataset,160.44166666666666,FAST+SIFT
77,Small Village Dataset,246.15,FAST+SIFT
78,Small Village Dataset,280.3333333333333,FAST+SIFT
79,Small Village Dataset,235.36666666666667,FAST+SIFT
80,Small Village Dataset,155.65833333333333,FAST+SIFT
81,Small Village Dataset,223.34166666666667,FAST+SIFT
82,Small Village Dataset,183.025,FAST+SIFT
83,Small Village Dataset,150.28333333333333,FAST+SIFT
84,Small Village Dataset,148.60833333333332,FAST+SIFT
85,Small Village Dataset,102.26666666666667,FAST+SIFT
86,Small Village Dataset,42.625,FAST+SIFT
87,Small Village Dataset,63.03333333333333,FAST+SIFT
88,Small Village Dataset,185.80833333333334,FAST+SIFT
89,Small Village Dataset,223.85833333333332,FAST+SIFT
90,Small Village Dataset,226.68333333333334,FAST+SIFT
91,Small Village Dataset,219.75,FAST+SIFT
92,Small Village Dataset,190.30833333333334,FAST+SIFT
93,Small Village Dataset,165.44166666666666,FAST+SIFT
94,Small Village Dataset,417.35833333333335,FAST+SIFT
95,Small Village Dataset,293.2583333333333,FAST+SIFT
96,Small Village Dataset,205.19166666666666,FAST+SIFT
97,Small Village Dataset,228.56666666666666,FAST+SIFT
98,Small Village Dataset,242.38333333333333,FAST+SIFT
99,Small Village Dataset,178.95833333333334,FAST+SIFT
100,Small Village Dataset,201.05833333333334,FAST+SIFT
101,Small Village Dataset,131.35,FAST+SIFT
102,Small Village Dataset,0.625,FAST+SIFT
103,Small Village Dataset,109.525,FAST+SIFT
104,Small Village Dataset,200.525,FAST+SIFT
105,Small Village Dataset,241.34166666666667,FAST+SIFT
106,Small Village Dataset,208.175,FAST+SIFT
107,Small Village Dataset,206.90833333333333,FAST+SIFT
108,Small Village Dataset,250.975,FAST+SIFT
109,Small Village Dataset,145.20833333333334,FAST+SIFT
110,Small Village Dataset,302.375,FAST+SIFT
111,Small Village Dataset,150.475,FAST+SIFT
112,Small Village Dataset,281.18333333333334,FAST+SIFT
113,Small Village Dataset,210.31666666666666,FAST+SIFT
114,Small Village Dataset,218.625,FAST+SIFT
115,Small Village Dataset,180.73333333333332,FAST+SIFT
116,Small Village Dataset,166.00833333333333,FAST+SIFT
117,Small Village Dataset,115.60833333333333,FAST+SIFT
118,Small Village Dataset,39.483333333333334,FAST+SIFT
119,Small Village Dataset,88.5,FAST+SIFT
120,Small Village Dataset,293.625,AGAST+SIFT
121,Small Village Dataset,286.675,AGAST+SIFT
122,Small Village Dataset,297.1333333333333,AGAST+SIFT
123,Small Village Dataset,234.275,AGAST+SIFT
124,Small Village Dataset,245.43333333333334,AGAST+SIFT
125,Small Village Dataset,313.2083333333333,AGAST+SIFT
126,Small Village Dataset,523.3416666666667,AGAST+SIFT
127,Small Village Dataset,431.975,AGAST+SIFT
128,Small Village Dataset,268.55,AGAST+SIFT
129,Small Village Dataset,235.975,AGAST+SIFT
130,Small Village Dataset,247.8,AGAST+SIFT
131,Small Village Dataset,281.775,AGAST+SIFT
132,Small Village Dataset,301.9916666666667,AGAST+SIFT
133,Small Village Dataset,764.4333333333333,AGAST+SIFT
134,Small Village Dataset,1292.7083333333333,AGAST+SIFT
135,Small Village Dataset,621.6916666666667,AGAST+SIFT
136,Small Village Dataset,394.05,AGAST+SIFT
137,Small Village Dataset,297.7416666666667,AGAST+SIFT
138,Small Village Dataset,314.175,AGAST+SIFT
139,Small Village Dataset,271.45,AGAST+SIFT
140,Small Village Dataset,360.80833333333334,AGAST+SIFT
141,Small Village Dataset,555.5,AGAST+SIFT
142,Small Village Dataset,820.2666666666667,AGAST+SIFT
143,Small Village Dataset,557.425,AGAST+SIFT
144,Small Village Dataset,299.85833333333335,AGAST+SIFT
145,Small Village Dataset,250.86666666666667,AGAST+SIFT
146,Small Village Dataset,353.85,AGAST+SIFT
147,Small Village Dataset,372.825,AGAST+SIFT
148,Small Village Dataset,571.7333333333333,AGAST+SIFT
149,Small Village Dataset,790.775,AGAST+SIFT
150,Small Village Dataset,761.825,AGAST+SIFT
151,Small Village Dataset,412.53333333333336,AGAST+SIFT
152,Small Village Dataset,213.325,AGAST+SIFT
153,Small Village Dataset,249.04166666666666,AGAST+SIFT
154,Small Village Dataset,323.4166666666667,AGAST+SIFT
155,Small Village Dataset,438.59166666666664,AGAST+SIFT
156,Small Village Dataset,626.7,AGAST+SIFT
157,Small Village Dataset,911.875,AGAST+SIFT
158,Small Village Dataset,592.5833333333334,AGAST+SIFT
159,Small Village Dataset,413.125,AGAST+SIFT
160,Small Village Dataset,204.39166666666668,AGAST+SIFT
161,Small Village Dataset,166.64166666666668,AGAST+SIFT
162,Small Village Dataset,293.6333333333333,AGAST+SIFT
163,Small Village Dataset,499.55833333333334,AGAST+SIFT
164,Small Village Dataset,791.9,AGAST+SIFT
165,Small Village Dataset,1321.0916666666667,AGAST+SIFT
166,Small Village Dataset,879.4166666666666,AGAST+SIFT
167,Small Village Dataset,548.6416666666667,AGAST+SIFT
168,Small Village Dataset,342.03333333333336,AGAST+SIFT
169,Small Village Dataset,160.99166666666667,AGAST+SIFT
170,Small Village Dataset,435.8666666666667,AGAST+SIFT
171,Small Village Dataset,519.8083333333333,AGAST+SIFT
172,Small Village Dataset,746.6833333333333,AGAST+SIFT
173,Small Village Dataset,990.875,AGAST+SIFT
174,Small Village Dataset,1039.6416666666667,AGAST+SIFT
175,Small Village Dataset,758.725,AGAST+SIFT
176,Small Village Dataset,587.8916666666667,AGAST+SIFT
177,Small Village Dataset,364.53333333333336,AGAST+SIFT
178,Small Village Dataset,266.84166666666664,AGAST+SIFT
179,Small Village Dataset,802.5,AGAST+SIFT
180,Small Village Dataset,1047.9333333333334,AGAST+SIFT
181,Small Village Dataset,592.2333333333333,AGAST+SIFT
182,Small Village Dataset,841.25,AGAST+SIFT
183,Small Village Dataset,502.6166666666667,AGAST+SIFT
184,Small Village Dataset,342.3666666666667,AGAST+SIFT
185,Small Village Dataset,278.0,AGAST+SIFT
186,Small Village Dataset,278.7916666666667,AGAST+SIFT
187,Small Village Dataset,233.25833333333333,AGAST+SIFT
188,Small Village Dataset,197.36666666666667,AGAST+SIFT
189,Small Village Dataset,172.71666666666667,AGAST+SIFT
190,Small Village Dataset,190.63333333333333,AGAST+SIFT
191,Small Village Dataset,208.86666666666667,AGAST+SIFT
192,Small Village Dataset,254.35833333333332,AGAST+SIFT
193,Small Village Dataset,264.1166666666667,AGAST+SIFT
194,Small Village Dataset,272.19166666666666,AGAST+SIFT
195,Small Village Dataset,274.525,AGAST+SIFT
196,Small Village Dataset,274.875,AGAST+SIFT
197,Small Village Dataset,467.9,AGAST+SIFT
198,Small Village Dataset,527.9666666666667,AGAST+SIFT
199,Small Village Dataset,473.325,AGAST+SIFT
200,Small Village Dataset,263.71666666666664,AGAST+SIFT
201,Small Village Dataset,347.85,AGAST+SIFT
202,Small Village Dataset,282.40833333333336,AGAST+SIFT
203,Small Village Dataset,238.99166666666667,AGAST+SIFT
204,Small Village Dataset,238.59166666666667,AGAST+SIFT
205,Small Village Dataset,172.675,AGAST+SIFT
206,Small Village Dataset,79.13333333333334,AGAST+SIFT
